,Unnamed: 0,Unnamed: 0.1,tweet_id,timestamp,dog_name,doggo,floofer,pupper,puppo,api_favorite_count,api_lang,api_retweet_count,img_jpg_url,img_img_num,img_p1,img_p1_conf,img_p1_dog,img_p2,img_p2_conf,img_p2_dog,img_p3,img_p3_conf,img_p3_dog,rating,followers_count,statuses_count,friends_count,float_rating,just_date
705,787,977,750011400160841729,2016-07-04 17:00:26,Piper,doggo,None,None,None,3180.0,en,886.0,https://pbs.twimg.com/media/CmfmvGUWgAAuVKD.jpg,1.0,muzzle,0.23762,False,Boston_bull,0.0871498,True,sombrero,0.0685099,False,11/10,8877787.0,13020.0,19.0,1.1,2016-07-04
706,788,978,749996283729883136,2016-07-04 16:00:22,Bo,None,None,None,None,3009.0,en,801.0,https://pbs.twimg.com/media/CmfoyrrW8AA8v7w.jpg,1.0,Old_English_sheepdog,0.515319,True,West_Highland_white_terrier,0.15104,True,soft-coated_wheaten_terrier,0.05642000000000001,True,12/10,8877196.0,13020.0,19.0,1.2,2016-07-04
707,789,979,749981277374128128,2016-07-04 15:00:45,Atticus,None,None,None,None,5025.0,en,2412.0,https://pbs.twimg.com/media/CmgBZ7kWcAAlzFD.jpg,1.0,bow_tie,0.533941,False,sunglasses,0.0808222,False,sunglass,0.0507762,False,1776/10,8877196.0,13020.0,19.0,177.6,2016-07-04
708,790,980,749774190421639168,2016-07-04 01:17:51,Lucy,None,None,None,None,4585.0,en,1294.0,https://pbs.twimg.com/media/Cme7pg2XEAATMnP.jpg,1.0,Pekinese,0.8790120000000001,True,Chihuahua,0.054855,True,Blenheim_spaniel,0.021041,True,12/10,8877196.0,13020.0,19.0,1.2,2016-07-04
709,791,981,749417653287129088,2016-07-03 01:41:06,Finn,None,None,pupper,None,5989.0,en,1608.0,https://pbs.twimg.com/media/CmZ3YH9WEAAowi3.jpg,2.0,papillon,0.772894,True,Shetland_sheepdog,0.0424076,True,collie,0.0423131,True,11/10,8877196.0,13020.0,19.0,1.1,2016-07-03
710,794,984,749317047558017024,2016-07-02 19:01:20,Blu,None,floofer,None,None,5394.0,en,2190.0,https://pbs.twimg.com/ext_tw_video_thumb/749316899712950272/pu/img/nvZI9mkoAxt89sul.jpg,1.0,wire-haired_fox_terrier,0.155144,True,Lakeland_terrier,0.108382,True,buckeye,0.0746167,False,12/10,8877196.0,13020.0,19.0,1.2,2016-07-02
711,795,986,749064354620928000,2016-07-02 02:17:13,Winston,None,None,None,None,4719.0,en,1497.0,https://pbs.twimg.com/media/CmU2DVWWgAArvp3.jpg,2.0,pug,0.985222,True,Brabancon_griffon,0.00331366,True,Pekinese,0.00298888,True,11/10,8877196.0,13020.0,19.0,1.1,2016-07-02
712,798,989,748932637671223296,2016-07-01 17:33:49,Divine,doggo,None,None,None,5695.0,en,2195.0,https://pbs.twimg.com/media/CmS-QkQWAAAkUa-.jpg,1.0,borzoi,0.742912,True,wire-haired_fox_terrier,0.204082,True,English_setter,0.0210323,True,13/10,8877196.0,13020.0,19.0,1.3,2016-07-01
713,799,990,748705597323898880,2016-07-01 02:31:39,None,None,None,None,None,2729.0,en,928.0,https://pbs.twimg.com/ext_tw_video_thumb/748704826305970176/pu/img/QHuadM5eEygfBeOf.jpg,1.0,tiger_shark,0.548497,False,great_white_shark,0.130252,False,scuba_diver,0.121887,False,13/10,8877196.0,13020.0,19.0,1.3,2016-07-01
714,800,991,748699167502000129,2016-07-01 02:06:06,Tripp,None,None,None,None,4666.0,en,1549.0,https://pbs.twimg.com/media/CmPp5pOXgAAD_SG.jpg,1.0,Pembroke,0.849029,True,Cardigan,0.0836288,True,kelpie,0.0243945,True,11/10,8877196.0,13020.0,19.0,1.1,2016-07-01
715,803,994,748568946752774144,2016-06-30 17:28:39,Cora,None,None,None,None,2160.0,en,656.0,https://pbs.twimg.com/ext_tw_video_thumb/748568890477789184/pu/img/1MzP7FuodJdHw8zA.jpg,1.0,Tibetan_terrier,0.32816100000000004,True,toy_poodle,0.304836,True,miniature_poodle,0.0708784,True,12/10,8877196.0,13020.0,19.0,1.2,2016-06-30
716,805,997,748324050481647620,2016-06-30 01:15:31,Duke,None,None,None,None,3618.0,en,738.0,https://pbs.twimg.com/media/CmKUwImXIAA58f5.jpg,1.0,Shetland_sheepdog,0.880499,True,collie,0.107901,True,Pembroke,0.00360667,True,11/10,8877196.0,13020.0,19.0,1.1,2016-06-30
717,808,1001,747933425676525569,2016-06-28 23:23:19,None,None,None,None,None,6488.0,en,2485.0,https://pbs.twimg.com/media/CmExV2qWkAAn_pN.jpg,1.0,Samoyed,0.998201,True,Eskimo_dog,0.00079285,True,Great_Pyrenees,0.00029575,True,11/10,8877196.0,13020.0,19.0,1.1,2016-06-28
718,810,1003,747844099428986880,2016-06-28 17:28:22,Huxley,None,None,None,None,2763.0,en,729.0,https://pbs.twimg.com/media/CmDgPTsWEAIi2T1.jpg,1.0,Pembroke,0.360428,True,papillon,0.26313400000000003,True,Chihuahua,0.131246,True,11/10,8877196.0,13020.0,19.0,1.1,2016-06-28
